variable,dtype,var_type,role,isCount,weighting_var
state,object,categorical,"['independent', 'groupby']",False,
year,int64,ordinal,independent,False,
driver_gender,object,categorical,"['independent', 'groupby']",False,
driver_race,object,categorical,"['independent', 'groupby']",False,
decriminalization,int64,categorical,['groupby'],False,
medical,int64,categorical,['groupby'],False,
recreational,int64,categorical,['groupby'],False,
no_reforms,int64,False,['groupby'],False,
search_conducted_false,float64,continuous,ignore,True,
search_conducted_true,float64,continuous,ignore,True,
search_conducted_rate,float64,continuous,dependent,False,num_stops
contraband_found_false,float64,continuous,ignore,True,
contraband_found_true,float64,continuous,ignore,True,
contraband_found_rate,float64,continuous,dependent,False,num_stops
hit_false,float64,continuous,ignore,True,
hit_true,float64,continuous,ignore,True,
hit_rate,float64,continuous,dependent,False,search_conducted_true
num_stops,float64,continuous,dependent,True,
